unique_trial_ID,ID,season,trial,task,path_efficiency,directional_path_efficiency,perc_backward,perc_backward_buffer,shrew_path_length,correct_path_length,total_deviation_sequences,first_deviation_point,first_deviation_length,total_deviations,total_deviation_length
summer_20210802-1_T8,20210802-1,summer,T8,maze,0.935064935064935,0.9441401971522454,0.3412698412698413,0.3265625,191.4454746188056,143.82020324017788,6,2,1.8648400639111136,6,13.739949186050364
winter_20240228-1_T10,20240228-1,winter,T10,maze,0.155881301394351,0.4254587155963302,0.6882373972112978,0.1103117505995203,566.8474967922873,141.79008823341437,6,1,404.9118290551253,6,441.5830828708921
summer_20210803-1_T7,20210803-1,summer,T7,maze,0.7003470883146934,0.834733893557423,0.5869649055148477,0.5022271714922049,360.4310197564962,141.9658267027003,13,6,10.34978827095273,13,71.01010644644579
winter_20210912-2_T7,20210912-2,winter,T7,maze,0.4506866416978776,0.7073791348600509,0.5093632958801498,0.191860465116279,221.13991930779903,144.68899051609333,6,1,97.03754459933158,6,105.136673285369
summer_20210802-3_T7,20210802-3,summer,T7,maze,0.7846655791190864,0.8848484848484849,0.1924959216965742,0.0560344827586206,125.9561598577956,141.76393014407432,4,8,2.0296806337684186,4,6.793840095678431
winter_20210803-3_T7,20210803-3,winter,T7,maze,0.0727076591154261,0.1648808222173627,0.6711254944264653,0.2337398373983739,467.5240743816213,145.398981751047,4,1,332.7819156151879,4,338.40163876383764
summer_20210802-5_T4,20210802-5,summer,T4,maze,0.56,0.7275449101796407,0.2968421052631579,0.05078125,149.71502335399563,142.90046139817375,7,2,38.7673359630376,7,56.5753264994099
winter_20210912-2_T9,20210912-2,winter,T9,maze,0.8906752411575563,0.8471760797342193,0.0321543408360128,0.0267175572519083,112.72707597825956,145.17061902371674,5,1,7.372946075094885,5,14.85021598633092
winter_20240225-2_T2,20240225-2,winter,T2,maze,0.1503558718861209,0.3724489795918367,0.6512455516014235,0.0135135135135135,424.8277123244308,141.99839258147355,7,1,273.5869141797162,7,331.2853803280631
spring_20240520-3_T6,20240520-3,spring,T6,maze,0.0965530748139443,0.3703374777975133,0.7794751273012143,0.1348547717842323,684.6420192900634,140.02757410236688,7,1,511.9942159299689,7,559.0646387179758
winter_20240225-4_T9,20240225-4,winter,T9,maze,0.9442896935933148,0.8801261829652997,0.116991643454039,0.1057692307692307,112.0936118520913,140.5888548577484,4,1,3.4674627889944025,4,8.771394850949122
winter_20210803-1_T6,20210803-1,winter,T6,maze,0.1757320123596056,0.34106436533621,0.727205846289666,0.4583095374071959,2359.2870570201057,144.07952015139637,36,1,341.8896826846639,36,1643.40428109888
winter_20210910-2_T9,20210910-2,winter,T9,maze,0.6200873362445415,0.7866242038216561,0.314410480349345,0.0608365019011406,152.81059407510992,145.330272536455,3,2,38.72312987144649,3,42.669371181766785
summer_20210803-1_T8,20210803-1,summer,T8,maze,0.1842742325941706,0.2357125337257787,0.6052096446208967,0.4788503253796095,872.4374374451678,141.02029237722587,28,2,132.26353949721909,28,314.4612269308867
spring_20240524-1_T6,20240524-1,spring,T6,maze,0.2352071005917159,0.5146286571642911,0.6713510848126233,0.2639484978540772,667.045501671021,141.8354496887954,9,1,363.56424927096987,9,456.11021550309187
