unique_trial_ID,season,ID,trial,time_at_edge,total_trial_time,percent_time_at_edge,mean_speed,task,mean_speed_at_edge_cm_s,mean_speed_out_edge_cm_s,total_distance_at_edge_cm,total_distance_out_edge_cm
spring_20201101-1_T9,spring,20201101-1,T9,75.4333333333334,230.1,32.7828480370853,213.09366577442157,cue,222.3705350884174,208.56919265856507,16.77415069683629,32.25870179785807
spring_20201101-3_T1,spring,20201101-3,T1,27134.7666666667,90365.2,30.027894218866,26.96052588313192,cue,33.93828276971987,23.966084836426656,920.9073840237025,1515.3859295106868
spring_20201101-3_T10,spring,20201101-3,T10,6946.93333333333,26104.2,26.6123203673483,82.2312956219817,cue,136.2781965095849,62.632454938057194,946.7155459389852,1199.866641236345
spring_20201101-3_T2,spring,20201101-3,T2,5557.83333333333,19602.3333333333,28.3529171697247,78.28832911734236,cue,122.1105292724954,60.94655940234235,678.6699699416506,855.9639535261971
spring_20201101-3_T3,spring,20201101-3,T3,10398.3666666667,30577.8333333333,34.0062245526443,66.59385678418421,cue,89.21609225071971,54.936744974124146,927.701639790142,1108.5942139805059
spring_20201101-3_T4,spring,20201101-3,T4,40065.7666666666,139635.5,28.6931093215312,22.24050368559965,cue,35.118278202559985,17.05862871506837,1407.0407401988537,1698.5231121917002
spring_20201101-3_T5,spring,20201101-3,T5,39582.8666666667,52008.7,76.1081639546204,22.29235979181593,cue,13.585754528022168,50.02751332486243,537.7631100487642,621.6335426558529
spring_20201101-3_T6,spring,20201101-3,T6,55781.9,308525.1,18.0801821310487,12.982977277188276,cue,29.632462641185143,9.30833864150612,1652.9550678043252,2352.619294937909
spring_20201101-3_T7,spring,20201101-3,T7,305.2,372.5,81.9328859060403,179.5834995210341,cue,161.97073185362896,259.4559615134862,49.43346736172756,17.461386209857622
spring_20201101-3_T8,spring,20201101-3,T8,70946.3,456317.6,15.547570376422,7.573903905698663,cue,20.22367579512784,5.245099162327749,1434.7949700638778,2021.3106828151554
spring_20201101-3_T9,spring,20201101-3,T9,84330.6333333334,377071.533333333,22.3646247140021,8.343227523746554,cue,16.36981533854021,6.030987471443774,1380.476895048811,1765.516700279175
spring_20201103-1_T1,spring,20201103-1,T1,50032.1333333333,209745.933333333,23.8536845688546,14.274334888991213,cue,22.459628831873683,11.710200055790668,1123.7031443334818,1870.28054967054
spring_20201103-1_T10,spring,20201103-1,T10,184,697,26.3988522238164,405.3721467096672,cue,668.5190836883625,310.9880601520068,123.00751139865869,159.53687485797946
spring_20201103-1_T2,spring,20201103-1,T2,1718.33333333333,8131.7,21.1312927596116,49.71672028261224,cue,85.28368962587898,40.18726217353073,146.54580667380205,257.7356476483162
spring_20201103-1_T3,spring,20201103-1,T3,4502.7,14554.8333333333,30.9361151507518,103.23215249536165,cue,160.74193821808691,77.47152004184741,723.77272521458,778.7540489966558
spring_20201103-1_T4,spring,20201103-1,T4,1608.4,5014.2,32.0769015994575,183.88857429829184,cue,256.6512648336761,149.5261597533648,412.79789435848465,509.25619488800976
spring_20201103-1_T5,spring,20201103-1,T5,5316.13333333333,19965.5,26.626597547436,71.53965826002084,cue,101.06809384715945,60.82403455574414,537.2914626373457,891.0335843531
spring_20201103-1_T6,spring,20201103-1,T6,54732.9666666667,190463,28.7367975232285,22.905872213255225,cue,33.71771462598087,18.546010244256234,1845.4705506999896,2517.25058865324
